,,,,"Start Date.... 07/01/2021
End Date...... 06/30/2022
Bill-To.......... 100016, 100023, 100045, 100051, 100106, 100116, 100127, 100197, 100225, 100253, 100258, 100262, 100322, 100327, 100343, 100365, 100454, 100548, 100632, 100713, 100751, 100775, 100790, 100794, 100796, 100837, 100932, 100965, 100970, 101025",,,,,,,
300025 - District Usage by Item,,,,,,,,,,,
,,,,,,,,,,,
Item No ,Zone,Mfg. Item No.,Description,,Brand,,Pack Size,UOM,Quantity,Total Amt Invoiced,Avg Price
 ALHAMBRA SCHOOL DISTRICT (100023),,,,,,,,,,,
210243,DRY,41270,DICED PEACHES LS,,CHH,,6/#10,CS,2,$72.06,$36.03
253312,DRY,6106713,TOMATO SAUCE POUCH,,CHH,,6/108OZ,CS,45,$967.05,$21.49
210252,DRY,1016,TOMATO PASTE,,CHH,,6/#10,CS,28,$992.88,$35.46
210250,DRY,1018,SPAGHETTI SAUCE,,CHH,,6/#10,CS,16,$368.48,$23.03
210254,DRY,41298,TOMATO SAUCE,,CHH,,6/#10,CS,24,$391.44,$16.31
202966,DRY,121968/4800007087,CHUNK LIGHT TUNA IN WATER,,CHICKEN OF THE SEA INTERNATIONAL,,6/66.5OZ,CS,1,$70.36,$70.36
209754,DRY,00003,MINI CHOC CHIP GRHAM BITES IW,,CHORTLES,,100/1OZ,CS,8,$191.04,$23.88
409963,FROZEN,832-40,SANDWICH PB STRAW CRUSTLESS WG,,CLASSIC DELIGHT INC,,40/2.8OZ,CS,44,"$1,036.64",$23.56
142922,FROZEN,311,SANDWICH SUB TURKEY HAM CHS IW,,CLASSIC DELIGHT INC,,45/4.4OZ,CS,9,$374.76,$41.64
409962,FROZEN,831-40,SANDWICH PB GRAPE CRUSTLESS WG,,CLASSIC DELIGHT INC,,40/2.8OZ,CS,12,$282.72,$23.56
